Order,Time,Type,Size,Symbol,Price,End Time,End Price,frame_pos
126350834,2024-09-12 15:30:03,sell,1.00,audusd,0.66821,2024-09-16 11:48:51,0.67341,0
126359038,2024-09-12 15:51:11,sell,1.00,eurusd,1.10281,2024-09-17 15:30:44,1.11344,0
126466731,2024-09-12 20:02:30,sell,1.00,usdcad,1.35895,2024-09-17 15:30:10,1.36008,0
126467271,2024-09-12 20:07:07,buy,1.00,eurusd,1.10497,2024-09-16 15:30:00,1.11281,0
126512077,2024-09-13 04:08:46,buy,1.00,audusd,0.67290,2024-09-16 16:05:14,0.67436,0
126566725,2024-09-13 10:51:41,sell,1.00,gbpusd,1.31462,2024-09-16 01:00:47,1.31243,0
126622251,2024-09-13 17:05:18,buy,1.00,gbpusd,1.31467,2024-09-17 15:30:03,1.32069,0
126645115,2024-09-13 19:36:17,buy,1.00,usdjpy,140.845,2024-09-16 01:01:19,140.784,0
126651124,2024-09-13 21:13:40,sell,1.00,eurjpy,156.171,2024-09-16 02:05:44,156.088,0
126652761,2024-09-13 21:49:26,buy,1.00,usdcad,1.35930,2024-09-17 01:06:24,1.35877,0
126652839,2024-09-13 21:50:33,sell,1.00,usdjpy,140.943,2024-09-16 01:03:13,140.712,0
126654177,2024-09-13 22:14:21,buy,1.00,xauusd,2579.07,2024-09-16 07:18:10,2586.76,0
126655136,2024-09-13 22:33:43,buy,1.00,eurjpy,156.157,2024-09-16 01:25:04,155.713,0
126656192,2024-09-13 23:06:08,sell,1.00,xauusd,2582.49,2024-09-16 06:19:28,2584.75,0
126664979,2024-09-16 01:01:17,sell,1.00,gbpusd,1.31269,2024-09-16 09:35:38,1.31605,989
126665037,2024-09-16 01:02:00,buy,1.00,usdjpy,140.689,2024-09-16 01:20:09,140.546,2272
126665132,2024-09-16 01:03:34,sell,1.00,usdjpy,140.725,2024-09-16 01:06:36,140.732,5086
126665581,2024-09-16 01:12:20,sell,1.00,usdjpy,140.752,2024-09-16 01:14:44,140.692,20862
126665636,2024-09-16 01:14:57,sell,1.00,usdjpy,140.679,2024-09-16 01:19:10,140.595,25569
126665800,2024-09-16 01:19:34,sell,1.00,usdjpy,140.618,2024-09-16 01:20:51,140.478,33886
126665886,2024-09-16 01:20:35,buy,1.00,usdjpy,140.475,2024-09-16 01:25:04,140.525,35722
126665908,2024-09-16 01:21:03,sell,1.00,usdjpy,140.513,2024-09-16 01:35:21,140.626,36545
126666015,2024-09-16 01:25:30,buy,1.00,eurjpy,155.753,2024-09-16 01:27:36,155.751,44572
126666024,2024-09-16 01:25:53,buy,1.00,usdjpy,140.501,2024-09-16 01:27:36,140.508,45255
126666111,2024-09-16 01:28:34,buy,1.00,eurjpy,155.784,2024-09-16 01:29:56,155.834,50076
126666114,2024-09-16 01:28:46,buy,1.00,usdjpy,140.539,2024-09-16 01:29:56,140.566,50438
126666152,2024-09-16 01:29:57,buy,1.00,usdjpy,140.541,2024-09-16 01:30:35,140.556,52573
126666301,2024-09-16 01:31:05,buy,1.00,usdjpy,140.588,2024-09-16 01:39:23,140.664,54597
126666305,2024-09-16 01:31:05,buy,1.00,eurjpy,155.869,2024-09-16 02:15:00,156.173,54620
126666476,2024-09-16 01:35:36,sell,1.00,usdjpy,140.651,2024-09-16 01:47:46,140.696,62738
126666554,2024-09-16 01:39:38,buy,1.00,usdjpy,140.639,2024-09-16 01:57:15,140.724,70000
126666862,2024-09-16 01:48:04,sell,1.00,usdjpy,140.721,2024-09-16 01:54:51,140.688,85207
126667060,2024-09-16 01:56:55,sell,1.00,usdjpy,140.731,2024-09-16 02:00:34,140.713,101125
